emp_no,first_name,last_name,dept_name,from_date,to_date
82098,Poornachandra,Wilharm,Production,1991-04-20,9999-01-01
82351,Stevo,Thambidurai,Human Resources,1989-10-27,9999-01-01
82511,Uwe,Koblick,Development,1998-04-04,9999-01-01
82919,Shigeu,Claffy,Development,1998-12-19,9999-01-01
82928,Alselm,Rikino,Development,1990-11-16,9999-01-01
83280,Francesca,Ellozy,Production,1999-08-08,9999-01-01
83289,Shigeichiro,Engelmann,Development,1994-01-09,9999-01-01
83509,Breannda,Collavizza,Development,1989-10-12,9999-01-01
83544,Leaf,Baak,Sales,1994-09-05,9999-01-01
83714,Ohad,Kilgore,Customer Service,2000-10-10,9999-01-01
83805,Manohar,Harllee,Development,1987-03-11,9999-01-01
83922,Shunichi,Solovay,Production,1986-06-07,1998-11-18
83941,Zsolt,Hagimont,Research,1996-10-08,9999-01-01
84029,Babette,Eugenio,Customer Service,1997-09-21,9999-01-01
84163,Zejun,Roisin,Finance,1997-05-26,2002-01-16
84179,Shuichi,Nanard,Production,1989-03-14,9999-01-01
84236,Eberhardt,Barriga,Sales,1987-06-04,9999-01-01
84256,Denny,Cheshire,Sales,1989-11-23,1992-08-08
84315,Kristina,Baumann,Development,1996-09-26,9999-01-01
84451,Shiv,Aumann,Development,1998-06-14,9999-01-01
84494,Janalee,Loncour,Finance,1986-04-12,1987-09-04
84508,Tommaso,Vidya,Development,1998-05-02,9999-01-01
84840,Sverrir,Neimat,Research,1996-11-03,9999-01-01
84922,Parke,Unno,Development,1996-07-01,9999-01-01
84942,Shin,Fujisaki,Quality Management,1988-02-23,9999-01-01
85216,Ferdinand,Rosiles,Finance,1997-07-08,9999-01-01
85288,Younwoo,Luders,Quality Management,1998-12-08,9999-01-01
85414,Chiradeep,Callaway,Finance,1999-07-30,9999-01-01
85445,Yongdong,Pollock,Sales,1998-03-17,9999-01-01
85702,Udi,Merks,Quality Management,1997-08-15,9999-01-01
85874,Pasqua,Taubman,Customer Service,1986-06-23,9999-01-01
86213,Kristine,Clemencon,Marketing,1993-06-01,9999-01-01
86324,Maia,Berstel,Quality Management,1997-09-29,2002-01-13
86354,Ronghao,Segond,Development,1993-09-13,9999-01-01
86422,Jaewon,Thummel,Marketing,1985-09-14,9999-01-01
86546,Oldrich,Woycyznski,Production,1985-05-15,9999-01-01
86655,Zhenhua,Lorys,Production,1995-08-21,9999-01-01
86672,JoAnne,Anido,Research,1995-09-15,9999-01-01
87129,Keung,Neiman,Sales,1997-04-13,9999-01-01
87353,Quingbo,Coombs,Development,1999-01-17,9999-01-01
87458,Mikhail,Gimbel,Sales,1993-12-22,1999-04-29
87714,Khun,Janetzko,Production,1989-09-13,9999-01-01
87729,Yongmin,Roccetti,Research,1986-12-10,9999-01-01
87783,Conor,Thorensen,Development,1988-02-24,9999-01-01
88103,Goo,Bresenham,Sales,1999-01-31,9999-01-01
88357,Manohar,Karcich,Research,1998-08-07,2000-08-22
88411,Lena,Cannane,Development,2000-01-28,9999-01-01
88422,Jungsoon,Birsak,Production,1985-04-03,9999-01-01
88647,Vasiliy,Ratnaker,Development,1995-08-09,9999-01-01
88958,Vojin,Coombs,Finance,1995-07-23,9999-01-01
88965,Mang,Hedayat,Development,1995-05-22,9999-01-01
89048,Otmar,Birjandi,Development,1985-03-23,9999-01-01
89090,Tetsushi,Theuretzbacher,Human Resources,1990-02-01,9999-01-01
89161,Conal,Yetto,Finance,1991-01-12,9999-01-01
89207,Along,Erol,Human Resources,1992-10-16,9999-01-01
89346,Mansur,Comyn,Development,1999-08-31,9999-01-01
89487,Kazuhira,Seiwald,Development,1995-03-25,1999-03-24
89590,Guther,Rothenberg,Research,1991-08-08,9999-01-01
89664,Pranjal,Rossi,Marketing,1998-07-07,9999-01-01
89680,Aiman,Mawatari,Production,1988-05-01,9999-01-01
89806,Xiadong,Shinomoto,Production,1997-05-24,9999-01-01
89922,Alexius,Ibel,Production,1988-04-24,9999-01-01
89941,Arnould,Weedman,Marketing,1989-07-28,9999-01-01
90077,Vivian,Guerreiro,Development,1991-07-08,9999-01-01
90084,Renny,Bale,Production,1989-11-22,9999-01-01
90116,Brigham,Luiz,Development,1990-04-10,1995-06-10
90211,Bader,Denis,Production,1997-10-06,9999-01-01
90292,Koichi,Assaf,Production,1990-05-26,9999-01-01
90366,Magy,Eiron,Customer Service,1998-08-03,2002-03-03
90518,Fumiko,Chepyzhov,Customer Service,1988-01-28,9999-01-01
90614,Yonghoan,Trogemann,Production,1988-09-23,9999-01-01
90692,Rajmohan,DasSarma,Marketing,1985-09-14,9999-01-01
91172,Kazuhisa,Melter,Customer Service,1987-07-16,9999-01-01
91182,Lucien,Schwartzburd,Development,1988-08-25,9999-01-01
91229,Yahiko,Hebden,Production,1996-10-03,9999-01-01
91256,Gunilla,Milicic,Marketing,1998-01-09,9999-01-01
91308,Remmert,Plumb,Development,1986-06-14,1995-12-08
91333,Lobel,Stafford,Sales,1998-11-29,9999-01-01
91415,Jamaludin,Nilsson,Sales,1987-01-15,9999-01-01
91462,Siamak,Janocha,Development,1997-08-26,1998-03-21
91648,Dmitry,Msuda,Marketing,1988-10-22,9999-01-01
91934,Nikolaus,Swen,Production,2000-01-28,2002-07-03
91973,Jianwen,Jakobus,Development,1998-08-24,2001-02-12
92438,Aria,Kilgore,Customer Service,1992-04-11,9999-01-01
92443,Girolamo,Bellmore,Customer Service,1996-12-04,2000-04-27
92454,Visit,McFarlan,Quality Management,1987-10-22,9999-01-01
92577,Zhanqiu,Farrow,Production,1999-01-10,9999-01-01
92598,Ranga,Merro,Production,1996-05-11,9999-01-01
92685,Mang,Atchley,Sales,1995-06-07,9999-01-01
92841,Claude,Candan,Sales,1993-08-04,9999-01-01
92846,Anyuan,Kropatsch,Marketing,1986-09-05,9999-01-01
92920,Huei,Hutter,Development,1993-01-28,9999-01-01
93040,Jaques,Kabayashi,Development,1992-03-13,9999-01-01
93220,Richara,Walston,Quality Management,1996-08-27,9999-01-01
93278,Magdalena,Penn,Production,1997-01-04,9999-01-01
93549,Arie,Coullard,Sales,2000-03-28,9999-01-01
93600,Kristina,Neimat,Production,1988-04-18,9999-01-01
93794,Rimli,Werthner,Production,1994-05-27,2000-12-30
94045,Gift,Brender,Development,1996-10-31,2000-01-02
94131,Bernardo,Vasanthakumar,Finance,1997-05-01,1997-07-20
94331,Ramzi,Cronau,Production,1999-09-03,9999-01-01
94416,Aran,Cesareni,Sales,2001-11-20,9999-01-01
94442,Bilhanan,Marrakchi,Finance,1998-02-03,2000-10-12
94690,Kazuyasu,Sridhar,Finance,1999-12-22,2001-12-03
94761,Hitofumi,Zaccaria,Development,1988-11-22,9999-01-01
94787,Shigenori,Stanfel,Customer Service,1993-04-25,1999-12-11
94944,Heping,Matheson,Development,1988-06-24,9999-01-01
95181,Yishai,Cappelli,Research,1997-01-30,9999-01-01
95286,Kristin,Guerreiro,Development,1989-08-23,9999-01-01
95314,Rasiah,Koblick,Sales,1991-08-21,9999-01-01
95406,Alair,Lyonns,Development,1997-07-12,9999-01-01
95416,Gianluca,Ramaiah,Development,1993-11-29,9999-01-01
95509,Kristinn,Loncour,Production,1995-02-08,9999-01-01
95692,Abdulah,Hofstetter,Quality Management,2000-05-24,2000-07-24
95920,Nobuyoshi,Hegner,Finance,1994-09-07,9999-01-01
96100,Pranay,Rebaine,Production,1998-02-01,2000-12-31
96571,Kokou,Garrabrants,Production,1997-11-05,9999-01-01
96579,Mohan,Tasistro,Production,1996-02-10,9999-01-01
96767,Arumugam,Vecchio,Production,1985-08-14,9999-01-01
97018,Jeanna,Chinen,Production,1989-01-01,9999-01-01
97092,Anwar,Riexinger,Development,1991-12-31,2000-01-09
97623,Haldon,Janetzko,Human Resources,1990-09-11,9999-01-01
97661,Avishai,Hegner,Research,1993-05-08,9999-01-01
97697,Moie,Karunanithi,Research,1994-11-02,2000-12-15
98288,Sumali,Huttel,Research,1989-09-12,9999-01-01
98306,Ziya,Kadhim,Production,1999-06-24,9999-01-01
98514,Giao,Junot,Sales,1999-07-01,2002-02-25
98639,Florina,Assaf,Research,1996-05-18,9999-01-01
99057,Shugo,Reeken,Customer Service,1999-06-21,9999-01-01
99373,Xiaobin,Christianini,Customer Service,1985-12-25,9999-01-01
99377,Carrsten,Francisci,Development,1991-06-16,9999-01-01
99590,Dhritiman,Anily,Sales,1998-12-16,9999-01-01
99654,Mahendra,Motley,Research,1985-09-28,9999-01-01
100865,Hisao,Peral,Production,1990-10-03,9999-01-01
100877,Kazuhide,Harnett,Production,1995-02-02,1999-02-13
100916,Heejo,Aamodt,Development,1992-04-22,9999-01-01
101063,Nectarios,Munos,Development,1994-08-31,1995-08-14
101487,Abdelaziz,Sury,Sales,1991-01-31,9999-01-01
101647,Mori,Homond,Sales,1994-05-10,9999-01-01
101902,Mantis,Millington,Sales,1991-03-18,9999-01-01
102620,Adin,Templeman,Quality Management,1999-08-12,9999-01-01
103166,Waiman,Dalton,Development,1990-05-25,2002-02-09
103172,Doowon,Highland,Research,1989-12-28,1995-11-23
103196,Djenana,Albarhamtoshy,Human Resources,1988-07-16,9999-01-01
103310,Visit,Swen,Marketing,1995-10-02,9999-01-01
103316,Susanne,Peternell,Development,1994-07-27,9999-01-01
103342,Beshir,Hellwagner,Quality Management,1998-02-03,9999-01-01
103756,Heping,Halloran,Development,1992-04-08,9999-01-01
104133,Pranjal,Zyda,Sales,1991-07-03,9999-01-01
104845,Werner,Lodder,Finance,1992-06-17,9999-01-01
104962,Zongyan,Auyong,Production,1987-11-02,1991-12-22
104988,Parviz,Litzler,Development,1992-08-08,9999-01-01
105191,Jaber,Kleiser,Production,1986-12-13,1987-09-22
105342,Kwun,Reeker,Quality Management,1999-07-29,9999-01-01
105356,Diederik,Matzov,Research,1995-03-08,9999-01-01
105432,Mohamadou,Stafford,Development,1995-09-12,9999-01-01
105520,Haldun,Lienhardt,Sales,1987-01-29,9999-01-01
105589,Yechiam,Egerstedt,Development,1995-12-31,1999-07-18
105731,Sachem,Cromarty,Development,1990-08-20,9999-01-01
105936,Vidar,Thibadeau,Sales,1995-03-02,1999-09-15
106096,Naftali,Schurmann,Production,1992-12-02,9999-01-01
106242,Nevio,Thisen,Human Resources,1988-03-25,9999-01-01
106514,Otilia,Speek,Development,1988-07-30,1992-11-07
106695,Lijie,Garrabrants,Development,1988-10-26,9999-01-01
106710,Babette,Anandan,Marketing,1986-11-22,9999-01-01
106958,Horward,Begiun,Production,1985-11-06,2002-05-22
107486,Siamak,Luiz,Development,1987-02-11,9999-01-01
107737,Fabrizio,Chleq,Development,1999-07-31,9999-01-01
107792,Shahab,Crooks,Marketing,1992-03-18,9999-01-01
107828,Ramya,Walston,Sales,1989-02-03,9999-01-01
108091,Hisao,Ghemri,Customer Service,1985-11-14,9999-01-01
108198,Randi,Samarati,Research,1992-10-20,9999-01-01
108316,Shai,Stellhorn,Production,1992-05-21,9999-01-01
108988,Oksana,Baek,Sales,1989-07-20,9999-01-01
109062,Jamaludin,Kandlur,Development,1992-06-19,9999-01-01
109211,Gor,Delgrande,Research,2002-06-18,9999-01-01
109252,Moty,Winter,Production,1991-04-28,9999-01-01
109278,Bangqing,Schach,Finance,1988-03-22,9999-01-01
109547,Chenye,Zizka,Customer Service,1986-02-22,2002-04-21
109552,Menkae,Etalle,Development,1997-05-21,9999-01-01
109553,Xiaobin,DuBourdieux,Finance,1985-09-16,1988-05-11
109598,Stamatina,Auyong,Finance,1988-07-05,9999-01-01
109611,Jamaludin,Lalonde,Sales,1994-07-09,1998-08-24
109620,Mani,Cannata,Sales,1989-06-21,9999-01-01
109652,Huan,Perko,Human Resources,1988-07-31,1999-03-12
109703,Arco,Walston,Production,1999-08-16,9999-01-01
109741,Hatem,Fadgyas,Production,1991-11-13,9999-01-01
109953,Godehard,Chorvat,Sales,1988-04-10,9999-01-01
200052,Slavian,Cincotta,Development,1992-05-30,1997-07-07
200176,Shahab,Luit,Sales,1985-11-20,1997-02-05
200267,Chuanti,Luff,Customer Service,1994-09-21,9999-01-01
200312,Akemi,Fujisaki,Quality Management,2001-11-13,9999-01-01
200363,Kirk,Quaggetto,Development,1987-06-30,9999-01-01
200735,Dinah,Denos,Marketing,1992-09-21,9999-01-01
200789,Susumu,Camurati,Marketing,1991-12-15,9999-01-01
201180,Odinaldo,Bridgland,Development,1989-06-09,1995-06-16
201229,Alejandra,Khasidashvili,Human Resources,1994-07-30,9999-01-01
201708,Anneli,Perl,Human Resources,1992-09-08,9999-01-01
201709,Fan,Kakkad,Finance,1988-02-25,9999-01-01
201739,Genta,Terekhov,Development,1998-07-21,9999-01-01
201801,Waiman,Genin,Development,1988-10-30,9999-01-01
201915,Sudharsan,DeMori,Production,1992-03-30,9999-01-01
202031,Annemarie,Peternell,Development,1994-03-13,1997-06-05
202291,Ortrun,Schmiedel,Production,1997-07-18,9999-01-01
202403,Gully,Perko,Production,1999-07-07,9999-01-01
202414,Zvonko,Murthy,Customer Service,1992-01-07,9999-01-01
202552,Morris,Saoudi,Production,1991-11-22,9999-01-01
202581,Dharmaraja,Merlo,Human Resources,1987-06-05,1990-12-16
202826,Kerhong,Matzke,Development,1986-11-14,9999-01-01
202882,Isaac,Koshino,Development,1995-09-28,9999-01-01
202950,Giordano,Pietrzykowski,Human Resources,1987-03-26,9999-01-01
203474,Hugh,Jonsson,Sales,1991-07-06,9999-01-01
203495,Zongyan,Gips,Development,1997-05-31,9999-01-01
203599,Ewing,DiGiano,Development,2000-02-01,9999-01-01
203697,Claude,Kemmerer,Development,1994-01-16,2001-05-07
203720,Sasan,Thimonier,Sales,1996-08-21,9999-01-01
203946,Yefim,Marwedel,Human Resources,1993-03-30,9999-01-01
204117,Jessie,Nooteboom,Customer Service,2000-12-13,9999-01-01
204133,Susuma,Bergere,Finance,1996-02-25,9999-01-01
204246,Arve,Worfolk,Research,1985-04-01,9999-01-01
204425,Gretta,Huttel,Development,1990-10-08,9999-01-01
204470,Hein,Lichtner,Customer Service,1998-05-02,9999-01-01
204471,Franziska,Maginnis,Development,1986-02-17,9999-01-01
204764,Susanne,Mandelberg,Development,1990-11-02,9999-01-01
205018,Yahiko,Awdeh,Quality Management,1998-08-05,9999-01-01
205085,Moni,Kornyak,Development,1991-09-26,9999-01-01
205174,Leszek,Spinelli,Marketing,1998-12-10,9999-01-01
205362,Masasuke,Makinen,Sales,1992-07-02,1997-06-01
205500,Mary,Setiz,Development,1989-01-13,9999-01-01
205627,Stabislas,Broder,Production,1996-07-16,9999-01-01
205660,Kien,Barreiro,Marketing,2000-10-24,9999-01-01
205699,Youjian,Yetto,Sales,1994-12-07,9999-01-01
205789,Limsoon,Skafidas,Finance,1999-08-10,9999-01-01
205863,Aiichiro,Kusalik,Quality Management,1990-10-04,9999-01-01
206372,Temple,Joslin,Customer Service,1995-11-14,1996-04-24
206748,Yucai,Fabrizio,Sales,1999-10-06,9999-01-01
206836,Guadalupe,Pfau,Research,1993-03-22,9999-01-01
206865,Vasilii,Cochrane,Production,1991-09-13,2001-04-23
206966,Tzu,Sichman,Development,1987-11-17,9999-01-01
207021,Jacqueline,Akaboshi,Production,1997-12-06,9999-01-01
207068,Zhiguo,Ariola,Marketing,1994-09-07,9999-01-01
207204,Kellie,Schrooten,Development,1991-01-17,9999-01-01
207401,Shuji,Barbanera,Research,1987-08-10,9999-01-01
207551,Baziley,Falck,Development,1995-02-18,9999-01-01
207779,Chinya,Kamble,Research,1992-05-31,9999-01-01
207980,Remko,Vieth,Human Resources,1990-11-22,9999-01-01
208147,Manu,Rothenberg,Development,1988-12-06,9999-01-01
208330,Shen,Flanders,Sales,1989-07-03,9999-01-01
208639,Larisa,Lukaszewicz,Customer Service,1996-10-30,9999-01-01
208653,Phillip,Schade,Development,1989-03-03,9999-01-01
208784,Pranjal,Juneja,Production,1985-03-21,9999-01-01
209101,Xinyu,Edelhoff,Quality Management,1997-10-26,9999-01-01
209443,Krassimir,Garnier,Human Resources,1998-01-26,9999-01-01
209456,Adhemar,Leonhardt,Customer Service,1999-07-27,1999-12-30
209565,Dante,Covnot,Marketing,1989-05-28,9999-01-01
209681,Tianruo,Bratten,Marketing,1997-10-10,1998-04-03
209712,Nimmagadda,Baak,Development,1987-10-30,9999-01-01
209945,Roded,Veevers,Development,1990-10-23,1996-01-08
210017,Shalesh,Lovengreen,Human Resources,1990-09-29,9999-01-01
210292,Lihong,Zeilberger,Human Resources,1996-04-28,9999-01-01
210449,Gino,Lagarias,Production,1997-06-22,9999-01-01
210529,Adam,Besancenot,Sales,1990-09-27,1995-02-04
210610,Arco,Crouzet,Development,1994-09-03,2000-09-30
210752,Saniya,Stenning,Marketing,1986-12-10,9999-01-01
210786,Werner,Ranze,Human Resources,1998-06-05,9999-01-01
211569,Zhonghua,Snyers,Finance,1989-04-23,1999-07-18
211858,Domenico,Ratnaker,Production,1985-03-24,9999-01-01
211879,Gao,Ranze,Development,1994-11-24,9999-01-01
211967,Anwar,Bain,Development,1989-01-22,9999-01-01
212074,Tomokazu,Byoun,Production,1996-07-30,2002-04-08
212093,Leni,Henders,Human Resources,1993-11-19,9999-01-01
212131,Debatosh,Rajala,Marketing,1994-01-19,1994-04-22
212154,Sailaja,Holburn,Customer Service,1991-03-04,9999-01-01
212361,Claudi,Stanfel,Quality Management,1996-01-07,9999-01-01
212703,Kien,Bennis,Development,1993-01-06,1998-03-14
212810,Qingxiang,Swan,Customer Service,1990-10-04,2002-03-13
213016,Yongmao,Fontan,Development,1993-07-26,9999-01-01
213140,Tru,Danecki,Sales,1997-03-31,9999-01-01
213384,Pranas,Narwekar,Development,1985-09-26,9999-01-01
213447,Armond,Perly,Production,1989-09-14,9999-01-01
214184,Sivanarayana,Ranka,Development,1999-10-25,2001-05-03
214215,Xiaoqiang,Cardazo,Sales,1993-05-28,9999-01-01
214391,Rayond,Klassen,Customer Service,1993-09-11,9999-01-01
214427,Peer,Molberg,Production,1996-11-17,9999-01-01
214539,Ingmar,Kohling,Development,1995-04-25,9999-01-01
214634,Shirish,Vickson,Development,1989-10-24,9999-01-01
214789,Arfst,Chepyzhov,Production,1989-02-06,9999-01-01
214807,Prasadram,Qiwen,Quality Management,1992-09-04,1997-11-25
214866,Gopalakrishnan,Angel,Development,1997-07-05,9999-01-01
214995,Dinkar,Hoppenstand,Production,1994-05-04,9999-01-01
215419,Flemming,Kroha,Human Resources,1995-01-23,9999-01-01
215629,Munehiro,Manders,Customer Service,1987-05-18,9999-01-01
215746,Sven,Speer,Finance,1999-07-08,9999-01-01
215843,Pramod,Loncour,Marketing,1987-03-31,9999-01-01
216054,Sahrah,Angiulli,Research,1986-07-31,9999-01-01
216062,Shuichi,Anick,Development,1985-11-24,1999-10-26
216246,Francoise,Rullman,Marketing,1997-12-30,2000-01-12
216342,Aiichiro,Cromarty,Development,1995-06-10,9999-01-01
216375,Byong,Gustavson,Development,1985-03-12,9999-01-01
216502,Xiaocheng,Suermann,Development,1997-12-15,9999-01-01
216573,Ashish,Vidya,Production,1989-06-16,9999-01-01
216921,Lena,Lenart,Sales,1990-12-25,9999-01-01
217026,Otmar,Engberts,Sales,1993-08-16,9999-01-01
217080,Masami,Puoti,Development,2000-01-21,9999-01-01
217272,Yuchang,Eldridge,Sales,1986-08-01,9999-01-01
217286,Yannik,Spelt,Development,1992-09-22,9999-01-01
217320,Abdelwaheb,Denis,Quality Management,1993-09-10,9999-01-01
217363,Horward,Marzano,Customer Service,1996-04-11,9999-01-01
217387,Jianhao,Molenaar,Development,1987-10-22,9999-01-01
217551,Panayotis,Lukaszewicz,Production,1989-06-06,9999-01-01
217800,Shay,Servieres,Finance,1998-08-06,9999-01-01
218022,Mokhtar,Poupard,Development,1992-02-02,9999-01-01
218100,Jiong,Garnham,Human Resources,1990-01-02,9999-01-01
218299,Almudena,Genin,Human Resources,1986-09-26,2001-11-06
218829,Eckart,Foong,Marketing,1989-11-26,1996-01-28
218831,Unal,DuBourdieux,Production,1996-03-13,9999-01-01
219035,Kristine,Bierman,Quality Management,1988-05-13,9999-01-01
219047,Aemilian,Kusalik,Development,1987-05-27,9999-01-01
219052,Marsal,Acton,Marketing,1995-08-02,9999-01-01
219417,Subhrajyoti,Denna,Research,1996-07-25,9999-01-01
219497,Moie,Zastre,Development,1991-10-11,9999-01-01
219967,Susanna,Reeken,Human Resources,1998-03-16,9999-01-01
220029,Demos,Asser,Development,1985-11-04,9999-01-01
220131,Reinhard,Slaats,Development,1994-06-08,9999-01-01
220418,Poorav,Laventhal,Sales,1997-08-16,9999-01-01
220528,Sibyl,Rabehasaina,Research,1998-02-23,9999-01-01
220582,Poornachandra,Zielinski,Marketing,1996-02-13,9999-01-01
220611,Yuping,Babb,Sales,1995-01-31,9999-01-01
220625,Shigenori,Deville,Production,1992-12-24,9999-01-01
220699,Nahid,Gyimothy,Customer Service,1995-08-18,9999-01-01
220799,Perla,Orlowska,Research,1998-10-13,9999-01-01
221126,Tesuya,dAstous,Development,1988-11-29,9999-01-01
221367,Saddek,Farris,Customer Service,1990-11-06,9999-01-01
221369,Abdulah,Pocchiola,Quality Management,1996-08-28,9999-01-01
221435,Djenana,Marrevee,Production,1994-02-06,9999-01-01
221699,Szabolcs,Georgatos,Development,1999-08-16,2000-02-06
221973,Sangeeta,Kalefeld,Marketing,1990-06-06,9999-01-01
222206,Stein,Uludag,Human Resources,1988-01-30,9999-01-01
222311,Miyeon,Billingsley,Development,1992-12-05,9999-01-01
222319,Matt,Chvatal,Development,1994-11-09,9999-01-01
222354,Valdiodio,Schlumberger,Development,1993-08-07,9999-01-01
222616,Badri,Schapire,Quality Management,1998-01-19,9999-01-01
222701,Lein,Delaune,Sales,1990-06-30,1991-09-14
222770,Kazuhiko,Kushner,Development,1995-08-01,9999-01-01
222878,Annemarie,Zallocco,Production,1996-12-01,9999-01-01
222926,Limsoon,Erol,Development,1997-12-31,9999-01-01
222952,Gopalakrishnan,Suermann,Production,1991-04-30,9999-01-01
222998,Leaf,Awdeh,Marketing,1992-10-02,9999-01-01
223593,Hidefumi,Moehrke,Marketing,1998-03-04,9999-01-01
223595,Chiranjit,Dredge,Production,1999-09-05,9999-01-01
224135,Annemarie,Bressoud,Development,1998-06-23,9999-01-01
224335,Perry,Chachaty,Development,1985-07-22,9999-01-01
224390,True,Shobatake,Research,1996-05-17,9999-01-01
224934,George,Miake,Human Resources,1988-01-02,9999-01-01
225438,Remmert,Quaggetto,Sales,1992-04-28,9999-01-01
225601,Masasuke,Genin,Development,1994-06-25,9999-01-01
225788,Ipke,Kieras,Development,1995-12-18,9999-01-01
225867,Ramalingam,Remmele,Quality Management,1999-09-03,9999-01-01
225964,Mooi,Cooman,Production,1989-06-07,9999-01-01
226216,Giordano,Gini,Quality Management,1993-08-14,9999-01-01
226227,Herbert,Erva,Production,1986-09-06,9999-01-01
227354,Gio,Murtha,Development,1986-11-11,9999-01-01
227476,Macha,Schnabel,Development,1988-05-11,9999-01-01
227681,Mikhail,Rousseau,Finance,1998-11-30,9999-01-01
227899,Garnik,Luce,Marketing,1998-09-15,9999-01-01
227901,Francesca,Azuma,Research,1996-06-08,9999-01-01
228098,IEEE,Kroll,Customer Service,1998-02-17,9999-01-01
228248,Yuriy,Plump,Research,1988-09-08,9999-01-01
228554,Bilhanan,Brendel,Sales,1990-12-23,9999-01-01
228575,Takanari,Pelc,Development,1990-08-18,1992-09-25
228766,Nahla,Smailagic,Production,1993-02-12,9999-01-01
229098,Berry,Yurek,Customer Service,1995-08-16,9999-01-01
229207,Filipe,Erol,Development,1997-07-11,1999-08-15
229220,Fabrizio,Lichtman,Production,1987-02-09,9999-01-01
229248,Harjit,Terekhov,Research,1995-10-19,9999-01-01
229352,Kwangho,Petereit,Production,1999-08-10,2000-05-06
229364,Dulce,Magliocco,Sales,1987-02-13,1987-02-23
229386,Pohua,Tasistro,Customer Service,1994-11-04,9999-01-01
229391,Paloma,Henseler,Production,1991-06-11,9999-01-01
229404,Gilbert,Kilgour,Human Resources,1996-04-05,9999-01-01
229547,Moni,Schach,Sales,1986-07-04,9999-01-01
229690,Mokhtar,Sherertz,Sales,1988-06-09,1995-11-08
229727,Ewing,Millington,Development,1999-09-28,9999-01-01
229981,Jamaludin,Fordan,Production,1992-02-06,9999-01-01
230002,Tadahiro,Backhouse,Development,1991-10-02,9999-01-01
230126,Bezalel,Radivojevic,Customer Service,1988-07-02,9999-01-01
230287,Renny,Alameldin,Production,1997-09-28,9999-01-01
230354,Yinghua,Lorho,Human Resources,1991-08-09,9999-01-01
230498,Kolar,Puppo,Production,1990-04-25,9999-01-01
230579,Shahar,Negoita,Finance,1994-03-19,9999-01-01
230689,Dietrich,Crabtree,Sales,1986-05-24,9999-01-01
230821,Toshiki,Raney,Finance,1997-07-03,2000-03-21
230865,Takushi,Brattka,Marketing,1999-06-03,9999-01-01
231043,Torsten,Slobodova,Development,1992-07-20,2000-04-01
231069,Trygve,Siksek,Sales,1995-11-09,9999-01-01
231459,Nectarios,Pramanik,Production,1999-11-18,9999-01-01
231671,Chandrasekaran,Pearson,Customer Service,1995-04-14,9999-01-01
231798,Goetz,Alvarado,Development,1988-12-25,9999-01-01
232178,Etsuo,Anandan,Human Resources,1989-12-13,9999-01-01
232209,Nitsan,Rouquie,Quality Management,1988-08-01,9999-01-01
232458,Nikolaus,Yetto,Marketing,1990-09-22,1992-08-22
232496,Peternela,Klerer,Human Resources,1986-06-06,1994-06-08
232697,Barry,Ramsak,Production,1990-09-07,9999-01-01
232723,Tesuya,Bugrara,Quality Management,1993-02-13,9999-01-01
233114,Alselm,Gargeya,Development,1987-12-25,9999-01-01
233247,Murthy,Angiulli,Production,1986-08-02,1998-07-21
233394,Khalid,Lenart,Development,1995-12-24,9999-01-01
233397,Fay,Sundgren,Sales,1990-07-07,9999-01-01
233426,Etsuo,Usery,Development,1995-03-02,9999-01-01
233533,Seongbae,Sluis,Customer Service,1988-09-22,1997-06-10
233690,Cedric,Riefers,Development,1994-09-08,9999-01-01
233759,Zissis,Lodder,Customer Service,2000-05-27,9999-01-01
233765,Kotesh,Chachaty,Development,1991-03-25,9999-01-01
233785,Baziley,Ballarin,Sales,1987-07-28,9999-01-01
233818,Kellie,Heydon,Development,1985-11-11,9999-01-01
234195,Luerbio,Terkki,Sales,1991-05-14,9999-01-01
234278,Tzu,Impagliazzo,Finance,1990-11-14,1993-12-05
234739,Foong,Aamodt,Production,1986-06-28,9999-01-01
235017,Irena,Dratva,Sales,1991-09-07,9999-01-01
235096,Sverrir,Gyimothy,Customer Service,1995-07-30,9999-01-01
235269,Keiichiro,Feldmann,Research,1997-12-20,1998-12-30
235325,Gro,Prochazka,Development,1992-10-16,9999-01-01
235368,Anneli,Joslin,Production,1987-04-12,9999-01-01
235458,Gio,Heuser,Research,1992-06-28,9999-01-01
235546,Tianruo,Speer,Sales,1985-10-30,1989-03-26
235729,Henk,Anger,Marketing,1993-01-19,9999-01-01
235780,Sampalli,Bergere,Production,1994-04-08,9999-01-01
235793,Jayesh,Spinelli,Quality Management,1999-01-16,9999-01-01
236315,IEEE,Raczkowsky,Development,1996-07-24,9999-01-01
236559,Berna,Nanard,Production,1989-08-20,1991-03-18
236566,Yechezkel,Maginnis,Customer Service,1992-12-11,9999-01-01
236591,Insup,Reinhard,Marketing,1985-04-08,9999-01-01
236827,Almudena,Rijckaert,Development,1994-02-16,9999-01-01
236883,Huan,Olivero,Sales,1999-11-19,9999-01-01
236964,Adel,Foote,Customer Service,2000-03-20,9999-01-01
237289,Brendon,Fritzsche,Marketing,1998-01-19,1999-12-18
237400,Guadalupe,Perri,Production,1996-06-27,1999-08-21
237590,Annemarie,Irland,Research,1991-07-30,1996-09-04
238112,Miomir,Frezza,Production,1991-05-25,9999-01-01
238252,Uno,Suppi,Sales,1996-12-27,9999-01-01
